TIMESTAMP,TIMESTAMP,yy,mm,dd,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20000101,1/1/2000,2000,1,1,-0.229,1,142.539,78.845,1,229.89,0,1.093,1,99.342,1,0,0,2.004,0,-9999,0,5.875,1,151.625,1,-9999,0,399.54,1,-9999,1.463,2.308,3.594,-9999,1,1,0,-9999,1,11.1131,-9999,-9999,-9999,-9999,1.03455,17.5871,-9999,-9999,-9999,-9999,4.6568,1.61554,1,0.119813,1.59043,1.63274,1.74303,1,1,1,2.10414,2.289,2.35005,2.5221,0.720883,0.693447,0.718689,0.7333,1.83968,1.74048,1.88754,1.94915,0,0,0,0,-9999,-9999
20000102,1/2/2000,2000,1,2,5.625,1,143.166,26.737,1,308.797,0,0.358,1,99.02,1,2.179,0,2.577,0,-9999,0,-4.958333333,1,51.41666667,1,-9999,0,396.938,1,-9999,2.258,2.25,3.652,-9999,1,1,0,-9999,1,4.86301,-9999,-9999,-9999,-9999,0.730799,-16.3634,-9999,-9999,-9999,-9999,3.0218,1.6773,1,0.11913,1.61825,1.7016,1.79437,1,1,1,3.18357,3.05682,3.13727,3.18357,1.47538,1.25345,1.44042,1.46118,2.54562,2.40041,2.5457,2.55177,0,0,0,0,-9999,-9999
20000103,1/3/2000,2000,1,3,9.013,1,143.851,34.862,1,330.512,0,1.104,1,98.864,1,3.314,0,2.603,0,-9999,0,1.833333333,1,67.04166667,1,-9999,0,384.608,1,-9999,2.904,2.2,3.892,-9999,1,1,0,-9999,1,5.77906,-9999,-9999,-9999,-9999,0.89416,-8.03591,-9999,-9999,-9999,-9999,3.23328,1.63311,1,0.11905,1.55477,1.66992,1.75339,1,1,1,3.89898,3.48971,3.60865,3.64611,2.01043,1.58504,1.96814,1.97857,2.9815,2.79876,2.9233,2.95434,0,0,0,0,-9999,-9999
20000104,1/4/2000,2000,1,4,6.554,1,144.595,6.305,1,350.248,0,0.632,1,97.959,1,30.02,0,3.415,0.541667,1.062461538,0.541666667,-5.041666667,1,12.125,1,-9999,0,378.192,1,-9999,3.946,2.129,3.594,-9999,1,1,0,-9999,1,0.0418578,-9999,-9999,-9999,-9999,0.655073,-30.2475,-9999,-9999,-9999,-9999,3.00586,2.51171,1,0.145884,2.46582,2.53421,2.57668,1,1,1,3.40888,3.18608,3.26942,3.30507,0.755171,0.651105,0.73521,0.759518,2.67205,2.51792,2.64735,2.66668,0,0,0,0,-9999,-9999
20000105,1/5/2000,2000,1,5,-3.146,1,145.397,78.802,1,220.425,0,1.396,1,98.709,1,0.924,0,3.379,1,0.891958333,1,1.458333333,1,151.5416667,1,-9999,0,378.166,1,-9999,3.95,2.046,3.652,-9999,1,1,0,-9999,1,30.1663,-9999,-9999,-9999,-9999,1.37351,30.6083,-9999,-9999,-9999,-9999,4.61808,2.72343,1,0.156805,2.6254,2.72882,2.83294,1,1,1,1.62437,1.91993,1.97107,2.27961,-0.689889,-0.755372,-0.704202,-0.550138,1.45826,1.38974,1.51129,1.58415,0,0,0,0,-9999,-9999
20000106,1/6/2000,2000,1,6,-4.858,1,146.258,78.195,1,207.23,0,1.316,1,100.279,0.75,0,0,1.799,0.75,0.388555556,0.75,-8.222222222,0.75,150.375,1,-9999,0,382.952,1,-9999,2.169,2.171,3.892,-9999,1,1,0,-9999,1,7.96341,-9999,-9999,-9999,-9999,0.77133,27.6403,-9999,-9999,-9999,-9999,4.3154,1.66836,1,0.117028,1.60165,1.69336,1.78583,1,1,1,1.38792,1.70164,1.74683,2.10355,0.111846,0.0260097,0.0784782,0.1614,1.18526,1.14842,1.22139,1.27255,0,0,0,0,-9999,-9999
20000107,1/7/2000,2000,1,7,-0.287,1,147.176,23.942,1,241.87,0,0.778,1,99.086,1,0.622,0,2.592,1,0.670041667,1,-10.83333333,1,46.04166667,1,-9999,-9999,387.958,1,-9999,2.283,2.2,3.594,-9999,1,1,0,-9999,1,3.17746,-9999,-9999,-9999,-9999,0.656861,-23.1667,-9999,-9999,-9999,-9999,3.31032,1.78902,1,0.129794,1.76658,1.80186,1.86489,1,1,1,1.96156,2.1367,2.2016,2.35966,0.387084,0.376222,0.401762,0.484382,1.36319,1.32928,1.3666,1.38016,0,0,0,0,-9999,-9999
20000108,1/8/2000,2000,1,8,-2.717,1,148.153,76.375,1,209.753,0,1.057,0.875,99.281,1,0,0,2.379,1,0.633458333,1,7.833333333,1,146.875,1,-9999,0,383.354,1,-9999,1.763,2.221,3.652,-9999,1,1,0,-9999,1,7.13888,-9999,-9999,-9999,-9999,0.783694,17.7583,-9999,-9999,-9999,-9999,5.13824,0.972867,1,0.113418,0.972867,1.14136,1.20976,1,1,1,1.51551,1.7431,1.8023,2.03444,0.778281,0.655179,0.734474,0.800867,0.732972,0.723461,0.733217,0.74896,0,0,0,0,-9999,-9999
20000109,1/9/2000,2000,1,9,1.146,1,149.187,65.585,1,251.014,0,1.074,0.833333,98.82,1,0,0,1.816,0.916667,0.421272727,0.916666667,19.20833333,1,126.125,1,-9999,0,390.054,1,-9999,2.338,2.275,3.892,-9999,1,1,0,-9999,1,3.06277,-9999,-9999,-9999,-9999,0.615499,9.97798,-9999,-9999,-9999,-9999,4.12043,1.32793,1,0.120407,1.14425,1.34168,1.53672,1,1,1,2.04366,2.08721,2.16093,2.22413,0.952361,0.724913,0.819991,0.847017,0.770579,0.752354,0.762988,0.772706,0,0,0,0,-9999,-9999
20000110,1/10/2000,2000,1,10,3.063,1,150.278,16.423,1,306.418,0,0.551,0.916667,97.881,1,15.661,0,3.463,1,0.713916667,1,-2.5,1,31.58333333,1,-9999,0,386.569,1,-9999,3.175,2.254,3.594,-9999,1,1,0,-9999,1,0.218492,-9999,-9999,-9999,-9999,0.592322,-19.3542,-9999,-9999,-9999,-9999,3.49319,1.44492,1,0.112604,1.39131,1.45967,1.49904,1,1,1,2.27088,2.20744,2.25383,2.30253,0.82122,0.808909,0.821529,0.849461,1.09118,1.03786,1.08252,1.09118,0,0,0,0,-9999,-9999
