TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20010101,8.062,0,172.214,122.53,1,258.526,0,4.984,0,99.723,0,0,1,2.006,0,-9999,0,-9999,0,253.7578542,1,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,80.1381,0,110.121,-9999,-9999,-9999,69.1653,0,95.0426,-9999,-9999,-9999,-0.705961,0,-9999,-0.761617,-0.726059,-0.708224,0,0,0,0.810118,0.557449,0.823255,1.06745,1.70107,1.32034,1.57174,1.78651,1.5112,1.09196,1.41269,1.51122,1.77791,1.77791,1.93414,2.0134,-9999,-9999
20010102,9.176,0,172.839,108.61,1,263.426,0,5.698,0,100.161,0,0,1,2.437,0,-9999,0,-9999,0,225.0220833,1,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,72.9266,0,100.284,-9999,-9999,-9999,72.673,0,99.9352,-9999,-9999,-9999,-1.14481,0,-9999,-1.16485,-1.08916,-0.997722,0,0,0,0.869922,0.597776,0.874004,1.11376,2.19238,1.54886,1.98614,2.29816,1.5397,1.1628,1.43933,1.53972,1.71986,1.71986,1.83829,1.93319,-9999,-9999
20010103,9.937,0,173.522,132.525,1,272.166,0,5.97,0,100.302,0,0,1,1.492,0,-9999,0,-9999,0,274.3905833,1,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,70.0966,0,96.567,-9999,-9999,-9999,81.0784,0,111.696,-9999,-9999,-9999,-1.14072,0,-9999,-1.19803,-1.14072,-1.09845,0,0,0,0.910026,0.62485,0.910026,1.14546,2.18766,1.78228,2.05545,2.33524,1.55943,1.21063,1.45778,1.55945,1.85653,1.85653,2.01928,2.09958,-9999,-9999
20010104,9.179,0,174.262,137.068,1,264.763,0,5.308,0,99.875,0,0,1,1.002,0,-9999,0,-9999,0,283.7693958,1,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,80.1381,0,110.4,-9999,-9999,-9999,69.1653,0,95.2841,-9999,-9999,-9999,-0.705961,0,-9999,-0.761617,-0.726059,-0.708224,0,0,0,0.872676,0.599555,0.875534,1.11402,1.75778,1.36225,1.62222,1.83309,1.53891,1.16524,1.4386,1.53893,1.87173,1.87173,2.03924,2.11797,-9999,-9999
20010105,8.9,0,175.061,131.773,1,264.651,0,5.374,0,99.522,0,0,1,1.055,0,-9999,0,-9999,0,272.8389375,1,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,72.9266,0,100.72,-9999,-9999,-9999,72.673,0,100.37,-9999,-9999,-9999,-1.14481,0,-9999,-1.16485,-1.08916,-0.997722,0,0,0,0.856959,0.588986,0.862479,1.10245,2.17952,1.54014,1.97326,2.28799,1.53202,1.14691,1.43215,1.53204,1.84916,1.84916,2.01122,2.09142,-9999,-9999
20010106,9.418,0,175.916,122.133,1,270.523,0,5.828,0,99.291,0,0,1,1.488,0,-9999,0,-9999,0,252.9390625,1,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,70.0966,0,96.8118,-9999,-9999,-9999,81.0784,0,111.979,-9999,-9999,-9999,-1.14072,0,-9999,-1.19803,-1.14072,-1.09845,0,0,0,0.878067,0.603434,0.882613,1.12382,2.16023,1.76091,2.02655,2.31687,1.54756,1.1742,1.44667,1.54758,1.79538,1.79538,1.94704,2.02608,-9999,-9999
20010107,11.139,0,176.829,88.361,1,302.995,0,8.352,0,98.941,0,0,1,3.033,0,-9999,-9999,-9999,-9999,183.2200833,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,80.1381,0,110.68,-9999,-9999,-9999,69.1653,0,95.5257,-9999,-9999,-9999,-0.705961,0,-9999,-0.761617,-0.726059,-0.708224,0,0,0,0.973066,0.667455,0.973066,1.18997,1.85399,1.42969,1.72417,1.91502,1.59078,1.26381,1.48708,1.5908,1.48772,1.48772,1.56719,1.65594,-9999,-9999
20010108,9.663,0,177.798,42.298,1,331.373,0,2.627,0,98.827,0,0,1,2.788,0,-9999,0,-9999,0,88.1299375,1,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,72.9266,0,100.72,-9999,-9999,-9999,72.673,0,100.37,-9999,-9999,-9999,-1.14481,0,-9999,-1.16485,-1.08916,-0.997722,0,0,0,0.880713,0.605565,0.888421,1.13385,2.21071,1.55635,2.00197,2.31789,1.55738,1.18099,1.45586,1.5574,0.981959,0.9655,0.998106,1.06119,-9999,-9999
20010109,8.147,0,178.824,77.205,1,300.42,0,1.931,0,99.046,0,0,1,2.249,0,-9999,0,-9999,0,160.1912708,1,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,70.0966,0,96.8118,-9999,-9999,-9999,81.0784,0,111.979,-9999,-9999,-9999,-1.14072,0,-9999,-1.19803,-1.14072,-1.09845,0,0,0,0.800796,0.551591,0.819794,1.0704,2.093,1.70921,1.95603,2.27252,1.51799,1.08547,1.41904,1.51801,1.3389,1.3389,1.4088,1.48972,-9999,-9999
20010110,8.647,0,179.905,20.084,1,308.628,0,2.444,0,98.423,0,0,1,5.338,0,-9999,0,-9999,0,42.27204167,1,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,80.1381,0,110.68,-9999,-9999,-9999,69.1653,0,95.5257,-9999,-9999,-9999,-0.705961,0,-9999,-0.761617,-0.726059,-0.708224,0,0,0,0.8252,0.568132,0.841369,1.09121,1.7235,1.3307,1.58145,1.81027,1.53163,1.11527,1.43179,1.53165,0.597243,0.551777,0.595011,0.621575,-9999,-9999
